 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 20, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuterium in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 2.0141 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   5.890E+01  4.157E-02   77.77 um     4.75 um     8.17 um  
   8.00 MeV   5.460E+01  3.710E-02   95.05 um     5.83 um     9.73 um  
   9.00 MeV   5.098E+01  3.354E-02  113.63 um     6.89 um    11.38 um  
  10.00 MeV   4.790E+01  3.065E-02  133.49 um     7.95 um    13.11 um  
  11.00 MeV   4.522E+01  2.823E-02  154.58 um     9.03 um    14.93 um  
  12.00 MeV   4.288E+01  2.620E-02  176.89 um    10.12 um    16.83 um  
  13.00 MeV   4.080E+01  2.445E-02  200.38 um    11.23 um    18.81 um  
  14.00 MeV   3.895E+01  2.293E-02  225.04 um    12.35 um    20.87 um  
  15.00 MeV   3.729E+01  2.160E-02  250.85 um    13.50 um    23.00 um  
  16.00 MeV   3.578E+01  2.042E-02  277.78 um    14.67 um    25.21 um  
  17.00 MeV   3.441E+01  1.938E-02  305.82 um    15.86 um    27.50 um  
  18.00 MeV   3.315E+01  1.844E-02  334.96 um    17.08 um    29.85 um  
  20.00 MeV   3.094E+01  1.682E-02  396.46 um    20.49 um    34.79 um  
  22.50 MeV   2.861E+01  1.518E-02  479.25 um    25.23 um    41.34 um  
  25.00 MeV   2.665E+01  1.384E-02  568.49 um    29.91 um    48.33 um  
  27.50 MeV   2.498E+01  1.273E-02  664.02 um    34.60 um    55.73 um  
  30.00 MeV   2.354E+01  1.180E-02  765.71 um    39.34 um    63.53 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.0239E-04                keV / (ug/cm2) 
  6.0239E-04                MeV / (mg/cm2) 
  6.0239E-01                keV / (mg/cm2) 
  1.8100E-01                 eV / (1E15 atoms/cm2)
  1.1439E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
